[2025-01-10T18:45:48.564+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-10T18:45:48.599+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls manual__2025-01-10T18:45:45.545806+00:00 [queued]>
[2025-01-10T18:45:48.611+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls manual__2025-01-10T18:45:45.545806+00:00 [queued]>
[2025-01-10T18:45:48.611+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-01-10T18:45:48.638+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_urls> on 2025-01-10 18:45:45.545806+00:00
[2025-01-10T18:45:48.651+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=75) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-10T18:45:48.653+0000] {standard_task_runner.py:72} INFO - Started process 78 to run task
[2025-01-10T18:45:48.658+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'topcv_scraper', 'scrape_urls', 'manual__2025-01-10T18:45:45.545806+00:00', '--job-id', '4', '--raw', '--subdir', 'DAGS_FOLDER/crawl_data.py', '--cfg-path', '/tmp/tmpy7ip6tcd']
[2025-01-10T18:45:48.664+0000] {standard_task_runner.py:105} INFO - Job 4: Subtask scrape_urls
[2025-01-10T18:45:48.761+0000] {task_command.py:467} INFO - Running <TaskInstance: topcv_scraper.scrape_urls manual__2025-01-10T18:45:45.545806+00:00 [running]> on host 1d1dc2f58764
[2025-01-10T18:45:48.905+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='topcv_scraper' AIRFLOW_CTX_TASK_ID='scrape_urls' AIRFLOW_CTX_EXECUTION_DATE='2025-01-10T18:45:45.545806+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-10T18:45:45.545806+00:00'
[2025-01-10T18:45:48.908+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-10T18:45:55.991+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-van-phong-nhap-lieu-data-entry-thu-nhap-7-trieu-thang-tai-hn-hcm/1308266.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mlp93JXjXR48tWQTVeKQPQnWvRqqntQkiIOf2ioL_1736534753
[2025-01-10T18:45:55.992+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/ke-toan-vien-muc-luong-8-11-trieu/1582903.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mlp93JXjXR48tWQTVeKQPQnWvRqqntQkiIOf2ioL_1736534753
[2025-01-10T18:45:55.992+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/giao-vien-am-nhac-parttime-khoi-tieu-hoc/1582593.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mlp93JXjXR48tWQTVeKQPQnWvRqqntQkiIOf2ioL_1736534753
[2025-01-10T18:45:55.994+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-han-nguoi-tho-phu-co-khi/1582779.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mlp93JXjXR48tWQTVeKQPQnWvRqqntQkiIOf2ioL_1736534753
[2025-01-10T18:45:55.994+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-nhom-quan-ly-chat-luong-qa-qc/1582769.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mlp93JXjXR48tWQTVeKQPQnWvRqqntQkiIOf2ioL_1736534753
[2025-01-10T18:45:55.995+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tieng-anh-tieng-trung/1581286.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mlp93JXjXR48tWQTVeKQPQnWvRqqntQkiIOf2ioL_1736534753
[2025-01-10T18:45:55.995+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-sales-online-ho-tro-don-hang-data-co-san-thu-nhap-len-den-20-trieu-quan-12/1582458.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mlp93JXjXR48tWQTVeKQPQnWvRqqntQkiIOf2ioL_1736534753
[2025-01-10T18:45:55.996+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/giao-vien-mam-non-tai-ho-chi-minh-va-ha-noi/1576716.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mlp93JXjXR48tWQTVeKQPQnWvRqqntQkiIOf2ioL_1736534753
[2025-01-10T18:45:55.996+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-y-te-mam-non-tai-ho-chi-minh/1524935.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mlp93JXjXR48tWQTVeKQPQnWvRqqntQkiIOf2ioL_1736534753
[2025-01-10T18:45:55.997+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/contact-center-follow-up-officer/1582625.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mlp93JXjXR48tWQTVeKQPQnWvRqqntQkiIOf2ioL_1736534753
