[2025-01-13T02:13:44.708+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-13T02:13:44.752+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls manual__2025-01-13T02:10:49.382707+00:00 [queued]>
[2025-01-13T02:13:44.761+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls manual__2025-01-13T02:10:49.382707+00:00 [queued]>
[2025-01-13T02:13:44.761+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-01-13T02:13:46.134+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_urls> on 2025-01-13 02:10:49.382707+00:00
[2025-01-13T02:13:46.307+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=109) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-13T02:13:46.314+0000] {standard_task_runner.py:72} INFO - Started process 110 to run task
[2025-01-13T02:13:46.312+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'topcv_scraper', 'scrape_urls', 'manual__2025-01-13T02:10:49.382707+00:00', '--job-id', '14', '--raw', '--subdir', 'DAGS_FOLDER/crawl_data.py', '--cfg-path', '/tmp/tmpw5if6okc']
[2025-01-13T02:13:46.333+0000] {standard_task_runner.py:105} INFO - Job 14: Subtask scrape_urls
[2025-01-13T02:13:47.037+0000] {task_command.py:467} INFO - Running <TaskInstance: topcv_scraper.scrape_urls manual__2025-01-13T02:10:49.382707+00:00 [running]> on host 91a339479d94
[2025-01-13T02:13:54.040+0000] {job.py:229} INFO - Heartbeat recovered after 20.37 seconds
[2025-01-13T02:14:02.192+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='topcv_scraper' AIRFLOW_CTX_TASK_ID='scrape_urls' AIRFLOW_CTX_EXECUTION_DATE='2025-01-13T02:10:49.382707+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-13T02:10:49.382707+00:00'
[2025-01-13T02:14:02.197+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-13T02:14:10.076+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/brand/goldsunfocusmedia/tuyen-dung/chuyen-vien-phap-che-tieng-trung-hoac-tieng-anh-j1583103.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.155+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/giao-vien-bo-mon-dia-li/1583272.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.156+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/marketing-executive/1583191.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.156+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-marketing-thu-nhap-tu-10-den-16-trieu-tai-ha-noi-di-lam-sau-tet/1582994.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.231+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/ky-su-me-khoi-du-an-thu-nhap-hap-dan/1583036.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.295+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-tu-van-tuyen-sinh-va-cham-soc-khach-hang-tai-ha-noi-di-lam-sau-tet/1582993.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.296+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke/1583016.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.297+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/giao-vien-am-nhac-parttime-khoi-tieu-hoc/1582593.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.298+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-y-te-mam-non-tai-ho-chi-minh/1524935.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.315+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/brand/bpomatbao/tuyen-dung/nhan-vien-kinh-doanh-ban-hang-ho-tro-100-data-nong-nhan-viec-ngay-hoac-phong-van-truoc-tet-nhan-viec-sau-tet-thu-viec-nhan-100-luong-cung-thu-nhap-upto-25-trieu-thang-tu-van-telesale-sales-admin-j1582562.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.316+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/ke-toan-vien-muc-luong-8-11-trieu/1582903.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.317+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/giao-vien-mam-non-tai-ho-chi-minh-va-ha-noi/1576716.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.317+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-sales-online-ho-tro-don-hang-data-co-san-thu-nhap-len-den-20-trieu-quan-12/1582458.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.317+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/contact-center-correspondence-officer/1582636.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.318+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/2d-artist/1582454.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.318+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-mo-hinh-qlrr/1582693.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.319+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-chot-don-hang-luong-co-ban-tu-7-trieu-hoa-hong-doanh-so/1582406.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.319+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/senior-sales-executive/1316953.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.320+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-livestream-tiktok-facebook-ve-mang-du-lich-1-nam-kinh-nghiem-thu-nhap-15-trieu/1582366.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.320+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-quan-ly-khach-hang-chuong-trinh-the-he-but-pha-abbank-s-202x-ha-noi/1582282.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.320+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/giao-dich-vien-chuong-trinh-the-he-but-pha-abbank-s-202x-ha-noi/1582306.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.321+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-quan-he-khach-hang-fdi-tieng-trung-tieng-han/1523027.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.321+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-ban-hang-tai-cua-hang-tai-ho-chi-minh-ha-noi/1482186.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.321+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/ky-su-xay-dung-qs-qc-khoi-du-an-ho-tro-chi-phi-an-o/1582578.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.322+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/brand/fecredit/tuyen-dung/nhan-vien-thu-phi-tin-dung-thi-truong-j1427976.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.322+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/quan-ly-nhan-hang-brand-manager-thu-nhap-tu-20-30-trieu/1582921.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.322+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/tro-ly-tong-hop-hanh-chinh-ke-toan-ban-thoi-gian-luong-thoa-thuan/1582806.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.322+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/operations-coordinator-receptionist-shtp-district-9-hcmc/1525526.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.323+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/senior-healthcare-nurse-y-ta-dieu-tri-cao-cap/1580763.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.323+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-mang-can-ho-thu-nhap-tu-7-50-trieu-khong-yeu-cau-kinh-nghiem/1463269.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.323+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-nhom-quan-ly-chat-luong-qa-qc/1582769.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.323+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-nhom-marketing-marketing-leader-luong-tu-15-trieu-thang-nhan-viec-ngay/1582398.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.324+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-chinh-kinh-doanh-m-payroll-tai-khoan-tra-luong-rb-msb-2y108/1582151.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.324+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-van-phong-nhap-lieu-data-entry-thu-nhap-7-trieu-thang-tai-hn-hcm/1308266.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.324+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh/1582204.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.325+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/quan-ly-san-xuat-mang-co-khi-che-tao-tai-nhon-trach-dong-nai/1582967.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.325+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/ky-su-xay-dung-giao-thong-di-lam-ngay/1582899.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.325+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/thu-ky/1505191.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.325+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/quan-ly-trung-tam-tieng-anh-thu-nhap-upto-60-trieu-ha-noi-tp-ho-chi-minh/1582467.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.326+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-qc/1582846.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.326+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/brand/congtycophanmisa/tuyen-dung/talent-acquisition-specialist-chuyen-vien-tuyen-dung-j1582143.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
[2025-01-13T02:14:10.326+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/giam-doc-mua-hang-quoc-te/1582853.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mKv8O6Hf5FGkBBUPt2wTfYDnA7wZaVSlp7VJMENj_1736734449
