[2025-01-16T02:05:15.361+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-16T02:05:15.380+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls manual__2025-01-16T02:05:13.338128+00:00 [queued]>
[2025-01-16T02:05:15.389+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls manual__2025-01-16T02:05:13.338128+00:00 [queued]>
[2025-01-16T02:05:15.390+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-01-16T02:05:15.407+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_urls> on 2025-01-16 02:05:13.338128+00:00
[2025-01-16T02:05:15.413+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=67) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-16T02:05:15.415+0000] {standard_task_runner.py:72} INFO - Started process 70 to run task
[2025-01-16T02:05:15.420+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'topcv_scraper', 'scrape_urls', 'manual__2025-01-16T02:05:13.338128+00:00', '--job-id', '4', '--raw', '--subdir', 'DAGS_FOLDER/crawl_data_topcv.py', '--cfg-path', '/tmp/tmphczptx14']
[2025-01-16T02:05:15.423+0000] {standard_task_runner.py:105} INFO - Job 4: Subtask scrape_urls
[2025-01-16T02:05:15.489+0000] {task_command.py:467} INFO - Running <TaskInstance: topcv_scraper.scrape_urls manual__2025-01-16T02:05:13.338128+00:00 [running]> on host 6b15ef797a18
[2025-01-16T02:05:15.613+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='topcv_scraper' AIRFLOW_CTX_TASK_ID='scrape_urls' AIRFLOW_CTX_EXECUTION_DATE='2025-01-16T02:05:13.338128+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-16T02:05:13.338128+00:00'
[2025-01-16T02:05:15.615+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-16T02:05:20.345+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-phong-lap-trinh-cnc-thu-nhap-hap-dan-di-lam-ngay-sau-tet/1585489.html?ta_source=JobSearchList_LinkDetail&u_sr_id=RGODcBHvJnU0A6dBGtuPgFFmAt1L1FsZwUHZ82Z7_1736993118
[2025-01-16T02:05:20.346+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-thang-may-nam-thu-nhap-hap-dan-tai-thanh-hoa/1560876.html?ta_source=JobSearchList_LinkDetail&u_sr_id=RGODcBHvJnU0A6dBGtuPgFFmAt1L1FsZwUHZ82Z7_1736993118
[2025-01-16T02:05:20.346+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thang-may-thu-nhap-upto-30m-thang-tai-thanh-hoa/1548040.html?ta_source=JobSearchList_LinkDetail&u_sr_id=RGODcBHvJnU0A6dBGtuPgFFmAt1L1FsZwUHZ82Z7_1736993118
[2025-01-16T02:05:20.347+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-phong-qc-tieng-anh-giao-tiep-tot-thu-nhap-hap-dan/1585496.html?ta_source=JobSearchList_LinkDetail&u_sr_id=RGODcBHvJnU0A6dBGtuPgFFmAt1L1FsZwUHZ82Z7_1736993118
[2025-01-16T02:05:20.347+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-content-tai-ha-noi-va-ho-chi-minh-co-the-di-lam-sau-tet-hoac-truoc-tet/1585497.html?ta_source=JobSearchList_LinkDetail&u_sr_id=RGODcBHvJnU0A6dBGtuPgFFmAt1L1FsZwUHZ82Z7_1736993118
[2025-01-16T02:05:20.348+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-xay-dung-cad-luong-cung-toi-10tr-thuong-khong-gioi-han-nhan-viec-sau-tet-tai-ha-noi/1532778.html?ta_source=JobSearchList_LinkDetail&u_sr_id=RGODcBHvJnU0A6dBGtuPgFFmAt1L1FsZwUHZ82Z7_1736993118
[2025-01-16T02:05:20.349+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-phong-dieu-duong/1564193.html?ta_source=JobSearchList_LinkDetail&u_sr_id=RGODcBHvJnU0A6dBGtuPgFFmAt1L1FsZwUHZ82Z7_1736993118
[2025-01-16T02:05:20.349+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-sales-marketing-thu-nhap-15-20-trieu/1585048.html?ta_source=JobSearchList_LinkDetail&u_sr_id=RGODcBHvJnU0A6dBGtuPgFFmAt1L1FsZwUHZ82Z7_1736993118
[2025-01-16T02:05:20.350+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-phu-bep-commis-tai-thiso-sala-thu-duc/1504196.html?ta_source=JobSearchList_LinkDetail&u_sr_id=RGODcBHvJnU0A6dBGtuPgFFmAt1L1FsZwUHZ82Z7_1736993118
[2025-01-16T02:05:20.351+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-tu-van-telesales-cham-soc-khach-hang-khong-yeu-cau-kinh-nghiem-luong-cung-8-trieu/1422793.html?ta_source=JobSearchList_LinkDetail&u_sr_id=RGODcBHvJnU0A6dBGtuPgFFmAt1L1FsZwUHZ82Z7_1736993118
[2025-01-16T02:05:20.351+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/customer-service-cham-soc-khach-hang/1474523.html?ta_source=JobSearchList_LinkDetail&u_sr_id=RGODcBHvJnU0A6dBGtuPgFFmAt1L1FsZwUHZ82Z7_1736993118
