[2025-01-16T03:24:17.419+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-16T03:24:17.498+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls manual__2025-01-16T03:24:14.673024+00:00 [queued]>
[2025-01-16T03:24:17.582+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls manual__2025-01-16T03:24:14.673024+00:00 [queued]>
[2025-01-16T03:24:17.589+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-01-16T03:24:17.650+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_urls> on 2025-01-16 03:24:14.673024+00:00
[2025-01-16T03:24:17.676+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=517) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-16T03:24:17.692+0000] {standard_task_runner.py:72} INFO - Started process 518 to run task
[2025-01-16T03:24:17.689+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'topcv_scraper', 'scrape_urls', 'manual__2025-01-16T03:24:14.673024+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/crawl_data_topcv.py', '--cfg-path', '/tmp/tmpi8aq_g62']
[2025-01-16T03:24:17.704+0000] {standard_task_runner.py:105} INFO - Job 9: Subtask scrape_urls
[2025-01-16T03:24:17.870+0000] {task_command.py:467} INFO - Running <TaskInstance: topcv_scraper.scrape_urls manual__2025-01-16T03:24:14.673024+00:00 [running]> on host 6b9b16f85a92
[2025-01-16T03:24:18.172+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='topcv_scraper' AIRFLOW_CTX_TASK_ID='scrape_urls' AIRFLOW_CTX_EXECUTION_DATE='2025-01-16T03:24:14.673024+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-16T03:24:14.673024+00:00'
[2025-01-16T03:24:18.177+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-16T03:24:25.451+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/brand/chinhanhtranscosmoshochiminh/tuyen-dung/nhan-vien-cham-soc-khach-hang-ho-tro-khach-hang-lam-viec-tai-binh-thanh-j1585795.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.453+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-phong-lap-trinh-cnc-thu-nhap-hap-dan-di-lam-ngay-sau-tet/1585489.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.455+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-thang-may-nam-thu-nhap-hap-dan-tai-thanh-hoa/1560876.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.456+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thang-may-thu-nhap-upto-30m-thang-tai-thanh-hoa/1548040.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.456+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-phong-qc-tieng-anh-giao-tiep-tot-thu-nhap-hap-dan/1585496.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.457+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-content-tai-ha-noi-va-ho-chi-minh-co-the-di-lam-sau-tet-hoac-truoc-tet/1585497.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.458+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/senior-quality-engineer-up-to-30-months-of-salary-annually/1585398.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.459+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-sales-marketing-thu-nhap-15-20-trieu/1585048.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.461+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/customer-service-cham-soc-khach-hang/1474523.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.462+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-kho-biet-tieng-trung-thu-nhap-tu-12-15-trieu/1585341.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
