[2025-01-17T00:47:14.883+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-17T00:47:14.914+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls manual__2025-01-17T00:47:10.947907+00:00 [queued]>
[2025-01-17T00:47:14.927+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls manual__2025-01-17T00:47:10.947907+00:00 [queued]>
[2025-01-17T00:47:14.927+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 3
[2025-01-17T00:47:14.947+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_urls> on 2025-01-17 00:47:10.947907+00:00
[2025-01-17T00:47:14.958+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=13256) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-17T00:47:14.960+0000] {standard_task_runner.py:72} INFO - Started process 13257 to run task
[2025-01-17T00:47:14.966+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'topcv_scraper', 'scrape_urls', 'manual__2025-01-17T00:47:10.947907+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/crawl_data_topcv.py', '--cfg-path', '/tmp/tmpf1mrfqpv']
[2025-01-17T00:47:14.972+0000] {standard_task_runner.py:105} INFO - Job 12: Subtask scrape_urls
[2025-01-17T00:47:15.025+0000] {task_command.py:467} INFO - Running <TaskInstance: topcv_scraper.scrape_urls manual__2025-01-17T00:47:10.947907+00:00 [running]> on host 6b9b16f85a92
[2025-01-17T00:47:15.170+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='topcv_scraper' AIRFLOW_CTX_TASK_ID='scrape_urls' AIRFLOW_CTX_EXECUTION_DATE='2025-01-17T00:47:10.947907+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-17T00:47:10.947907+00:00'
[2025-01-17T00:47:15.171+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-17T00:47:22.064+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-marketing/1113694.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ZzVlbS3UB5jntYeh4iRpC3jG4JnCQlssrfv8QHOO_1737074839
[2025-01-17T00:47:22.065+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thang-may-thu-nhap-upto-30m-thang-tai-thanh-hoa/1548040.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ZzVlbS3UB5jntYeh4iRpC3jG4JnCQlssrfv8QHOO_1737074839
[2025-01-17T00:47:22.065+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/can-bo-bien-tap-noi-dung-truong-dai-hoc-fpt/1586028.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ZzVlbS3UB5jntYeh4iRpC3jG4JnCQlssrfv8QHOO_1737074839
[2025-01-17T00:47:22.066+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-thu-kho-ngan-hang-ivb-chi-nhanh-thien-long/1586297.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ZzVlbS3UB5jntYeh4iRpC3jG4JnCQlssrfv8QHOO_1737074839
[2025-01-17T00:47:22.067+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/brand/matbao/tuyen-dung/chuyen-vien-cb-phong-van-truoc-tet-nhan-viec-sau-tet-j1586149.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ZzVlbS3UB5jntYeh4iRpC3jG4JnCQlssrfv8QHOO_1737074839
[2025-01-17T00:47:22.067+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-logistics-cuoc-van-tai-hang-khong-tai-hcm-ha-noi/1585993.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ZzVlbS3UB5jntYeh4iRpC3jG4JnCQlssrfv8QHOO_1737074839
[2025-01-17T00:47:22.068+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/junior-accountant-shtp-district-9/1585929.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ZzVlbS3UB5jntYeh4iRpC3jG4JnCQlssrfv8QHOO_1737074839
[2025-01-17T00:47:22.068+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-content-tai-ha-noi-va-ho-chi-minh-co-the-di-lam-sau-tet-hoac-truoc-tet/1585497.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ZzVlbS3UB5jntYeh4iRpC3jG4JnCQlssrfv8QHOO_1737074839
[2025-01-17T00:47:22.069+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/brand/chinhanhtranscosmoshochiminh/tuyen-dung/nhan-vien-cham-soc-khach-hang-ho-tro-khach-hang-lam-viec-tai-binh-thanh-j1585795.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ZzVlbS3UB5jntYeh4iRpC3jG4JnCQlssrfv8QHOO_1737074839
[2025-01-17T00:47:22.069+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-du-toan-ban-ve-co-khi/1261352.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ZzVlbS3UB5jntYeh4iRpC3jG4JnCQlssrfv8QHOO_1737074839
