[2025-01-16T01:43:44.840+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-16T01:43:44.855+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls scheduled__2025-01-14T00:00:00+00:00 [queued]>
[2025-01-16T01:43:44.866+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: topcv_scraper.scrape_urls scheduled__2025-01-14T00:00:00+00:00 [queued]>
[2025-01-16T01:43:44.866+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-01-16T01:43:44.916+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_urls> on 2025-01-14 00:00:00+00:00
[2025-01-16T01:43:44.922+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=65) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-16T01:43:44.923+0000] {standard_task_runner.py:72} INFO - Started process 68 to run task
[2025-01-16T01:43:44.927+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'topcv_scraper', 'scrape_urls', 'scheduled__2025-01-14T00:00:00+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/crawl_data_topcv.py', '--cfg-path', '/tmp/tmpwq1444jw']
[2025-01-16T01:43:44.931+0000] {standard_task_runner.py:105} INFO - Job 15: Subtask scrape_urls
[2025-01-16T01:43:44.998+0000] {task_command.py:467} INFO - Running <TaskInstance: topcv_scraper.scrape_urls scheduled__2025-01-14T00:00:00+00:00 [running]> on host 0ff031b9aa51
[2025-01-16T01:43:45.267+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='topcv_scraper' AIRFLOW_CTX_TASK_ID='scrape_urls' AIRFLOW_CTX_EXECUTION_DATE='2025-01-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-01-14T00:00:00+00:00'
[2025-01-16T01:43:45.269+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-16T01:43:48.967+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-content-tai-ha-noi-va-ho-chi-minh-co-the-di-lam-sau-tet-hoac-truoc-tet/1585497.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.967+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-sales-marketing-thu-nhap-15-20-trieu/1585048.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.968+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-phu-bep-commis-tai-thiso-sala-thu-duc/1504196.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.968+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-tu-van-telesales-cham-soc-khach-hang-khong-yeu-cau-kinh-nghiem-luong-cung-8-trieu/1422793.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.969+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/customer-service-cham-soc-khach-hang/1474523.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.969+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-tu-van-tai-chinh-thu-nhap-tu-16-30-trieu-thang/1585087.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.970+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-xay-dung-cad-luong-cung-toi-10tr-thuong-khong-gioi-han-nhan-viec-sau-tet-tai-ha-noi/1532778.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.971+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-sale-tour-va-combo-du-lich-1-nam-kinh-nghiem-thu-nhap-15-trieu/1584602.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.971+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/dieu-duong-y-khoa/1564198.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.971+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/quan-doc-xuong-tieng-anh-giao-tiep-tot-di-lam-ngay-sau-tet-tai-quan-7-thu-nhap-hap-dan/1585399.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.972+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/ke-toan-kiem-quan-ly-hanh-chinh-thu-mua-ho-chi-minh/1584916.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.972+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/thiet-ke-cong-trinh-giao-thong-ha-tang-ky-thuat-thu-nhap-10-15-trieu-ha-noi/1585330.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.973+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/junior-digital-marketing-cum-product-owner/1585302.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.973+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/quan-ly-cua-hang-vivian-vay-cuoi-cao-cap-thu-nhap-upto-25-trieu/1585593.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.974+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-kho-biet-tieng-trung-thu-nhap-tu-12-15-trieu/1585341.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.974+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/senior-quality-engineer-up-to-30-months-of-salary-annually/1585398.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.975+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/account-executive-chuyen-vien-kinh-doanh-giai-phap-digital-marketing-thu-nhap-15-40tr/1585188.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.975+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/cong-tac-vien-chinh-sach-tin-dung/1584152.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.975+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-phong-dieu-duong/1564193.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.976+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/brand/mtlhealthpost/tuyen-dung/nhan-vien-telesales-tu-van-chot-don-co-kinh-nghiem-telesales-tren-3-thang-data-co-san-thu-viec-100-luong-lam-tai-van-phong-quan-1-j1585569.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.976+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-logistics-biet-giao-tiep-tieng-anh/1585334.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.977+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-xuat-nhap-khau-booking-docs-nhan-viec-sau-tet/1585629.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.977+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-phong-quan-ly-thi-cong/1573304.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.977+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-cao-cap-quan-he-khach-hang-doanh-nghiep/1436467.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.978+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-phong-content-tai-ha-noi-va-ho-chi-minh-co-the-di-lam-sau-tet-hoac-truoc-tet/1585488.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.978+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-bao-hiem-kenh-ngan-hang-vietinbank-toan-quoc/1585263.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.979+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-theo-doi-don-hang-thu-nhap-tu-12-15-trieu/1585337.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.979+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke/1585276.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.979+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/marketing-executive/1585071.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.980+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-nhan-vien-tu-van-tuyen-sinh-thu-nhap-toi-thieu-tu-15-000-000-vnd-den-35-000-000vnd-lam-viec-tai-ho-chi-minh/1585057.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.980+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-gia-quan-ly-khu-vuc-ho-chi-minh-ha-noi-da-nang/1584918.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.980+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/fresher-developer-12-trieu-thang/1584060.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.981+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-khong-yeu-cau-kinh-nghiem-thu-nhap-len-toi-15tr-thang/1502522.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.981+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/pm-project-manager-brse-japanese-yeu-cau-tieng-nhat-n2-2-nam-kinh-nghiem-thu-nhap-tu-47-73-trieu/1584137.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.981+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/accountant-nhan-vien-ke-toan/1584184.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.982+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-trien-khai-phan-mem-b2b/1584517.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.982+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/brand/concentrixservices/tuyen-dung/nhan-vien-sale-qua-kenh-zalo-oa-truc-page-ban-hang-kenh-zalo-oa-sale-chat-tong-thu-nhap-12-21-trieu-thang-fulltime-quan-12-j1583139.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
[2025-01-16T01:43:48.982+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-telesales-tnex-finance-2z181/1584100.html?ta_source=JobSearchList_LinkDetail&u_sr_id=cieTVoANCExts5nsyra9TKWTVf54It23X6BxIyaX_1736991827
